survey_year,variable,original_value,original_label,recoded_midpoint,recode_note,needs_manual_review
2002,EXP_ALCOHOL_EXPENDITURE,NA,無此消費,NA,manual_review_unrecognized_label,TRUE
2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,NA,無此消費,NA,manual_review_unrecognized_label,TRUE
2002,EXP_FOOD_EXPENDITURE,NA,5萬元以上,NA,manual_review_missing_previous_width,TRUE
2002,EXP_MEDICAL_EXPENDITURE,NA,無此消費,NA,manual_review_unrecognized_label,TRUE
2002,EXP_TRANSPORT_COMM_EXPENDITURE,NA,無此消費,NA,manual_review_unrecognized_label,TRUE
2002,EXP_TRAVEL_EXPENDITURE,NA,無此消費,NA,manual_review_unrecognized_label,TRUE
2002,INC_FAM_GOV_INCOME,NA,1萬5千~未滿2萬元,NA,manual_review_unparsed_closed_range,TRUE
2002,INC_FAM_GOV_INCOME,NA,1萬~未滿1萬5千元,NA,manual_review_unparsed_closed_range,TRUE
2002,INC_FAM_GOV_INCOME,NA,無此收入,NA,manual_review_unrecognized_label,TRUE
2002,INC_FAM_OTHER_INCOME,NA,無此收入,NA,manual_review_unrecognized_label,TRUE
2002,INC_FAM_WORK_INCOME,NA,無此收入,NA,manual_review_unrecognized_label,TRUE
2006,EXP_ALCOHOL_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_CARE_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_CLEANING_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_CLOTHING_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,NA,1e+05,NA,manual_review_unrecognized_label,TRUE
2006,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,NA,34166,NA,manual_review_unrecognized_label,TRUE
2006,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,NA,35000,NA,manual_review_unrecognized_label,TRUE
2006,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_FOOD_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_FURNITURE_EXPENDITURE,NA,33000,NA,manual_review_unrecognized_label,TRUE
2006,EXP_FURNITURE_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_HOUSING_UTIL_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_LOAN_INTEREST_EXPENDITURE,NA,30000,NA,manual_review_unrecognized_label,TRUE
2006,EXP_LOAN_INTEREST_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_MEDICAL_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_OTHER_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_TAX_INS_GIFT_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_TRANSPORT_COMM_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,EXP_TRAVEL_EXPENDITURE,NA,50000,NA,manual_review_unrecognized_label,TRUE
2006,EXP_TRAVEL_EXPENDITURE,NA,60000,NA,manual_review_unrecognized_label,TRUE
2006,EXP_TRAVEL_EXPENDITURE,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,INC_FAM_GOV_INCOME,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
2006,INC_FAM_INTEREST_INCOME,NA,不知道/拒答,NA,manual_review_unrecognized_label,TRUE
