year,source_pdf,question_id,question_text,option_code,option_text,extraction_note
106,ques106.pdf,S1,請問登記在此戶籍地址的成員是否有具原住民身分的人？,1,有，登記且居住在此戶籍地址,
106,ques106.pdf,S1,請問登記在此戶籍地址的成員是否有具原住民身分的人？,2,有，但沒有居住在此(寄籍)(結束訪問),
106,ques106.pdf,S1,請問登記在此戶籍地址的成員是否有具原住民身分的人？,3,沒有(結束訪問),
106,ques106.pdf,S2,本訪問表的訪問對象是？(可複選),1,經濟戶長(跳答F 部分),
106,ques106.pdf,S2,本訪問表的訪問對象是？(可複選),2,次要經濟戶長(續答S3),
106,ques106.pdf,S2,本訪問表的訪問對象是？(可複選),3,家庭收支掌管者代答(續答S3),
106,ques106.pdf,S2,本訪問表的訪問對象是？(可複選),4,其他代答者(續答S3),
106,ques106.pdf,S3,尋求代答的主要原因是：______________________________________________,,,no_coded_option_detected
106,ques106.pdf,S4,代答者是經濟戶長的什麼人：______________________________________________,,,no_coded_option_detected
106,ques106.pdf,F1,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人,,,no_coded_option_detected
106,ques106.pdf,F1-1,與您同戶籍且共同生活的人(包括自己且不限原住民)，請依年齡、是否為原住民填寫下表。,,,no_coded_option_detected
106,ques106.pdf,F2,請問目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人？__________人,,,no_coded_option_detected
106,ques106.pdf,F3,請問目前與您「不同戶籍」，但「有住在一起」的有幾個人？__________人,,,no_coded_option_detected
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),1,所得,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),2,兄弟姊妹提供,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),3,政府補助,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),4,社會捐助,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),5,父母提供,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),6,婆家或岳父母提供,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),7,親戚朋友提供,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),8,子女提供,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),9,其他，請說明_______________ G 部分：經濟戶長基本資料,
106,ques106.pdf,G1,經濟戶長性別？□(1)男性 □(2)女性,1,男性,
106,ques106.pdf,G1,經濟戶長性別？□(1)男性 □(2)女性,2,女性,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,1,15~19 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,2,20~24 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,3,25~29 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,4,30~34 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,5,35~39 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,6,40~44 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,7,45~49 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,8,50~54 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,9,55~59 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,10,60~64 歲,
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,11,65歲以上,
106,ques106.pdf,G3,請問經濟戶長教育程度？,1,不識字,
106,ques106.pdf,G3,請問經濟戶長教育程度？,2,自修,
106,ques106.pdf,G3,請問經濟戶長教育程度？,3,國小,
106,ques106.pdf,G3,請問經濟戶長教育程度？,4,國(初)中,
106,ques106.pdf,G3,請問經濟戶長教育程度？,5,高中,
106,ques106.pdf,G3,請問經濟戶長教育程度？,6,高職(含五專前三年),
106,ques106.pdf,G3,請問經濟戶長教育程度？,7,專科,
106,ques106.pdf,G3,請問經濟戶長教育程度？,8,大學,
106,ques106.pdf,G3,請問經濟戶長教育程度？,9,研究所及以上,
106,ques106.pdf,G4,請問經濟戶長需不需要負責家計？,1,需要，是主要家計負責人,
106,ques106.pdf,G4,請問經濟戶長需不需要負責家計？,2,需要，是次要(輔助)家計負責人,
106,ques106.pdf,G4,請問經濟戶長需不需要負責家計？,3,不需要負責家計,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,1,阿美族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,2,泰雅族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,3,排灣族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,4,魯凱族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,5,布農族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,6,賽夏族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,7,雅美族(達悟),
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,8,卑南族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,9,鄒族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,10,邵族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,11,噶瑪蘭族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,12,太魯閣族,
106,ques106.pdf,G5,請問經濟戶長所屬的族別？,13,撒奇萊雅族,
