variable,label,type,source
w1,樣本權數,numeric,103
w2,母體權數,numeric,103
no,流水編號,numeric,103
city,縣市代碼,haven_labelled,103
county2,戶籍地鄉鎮市區,haven_labelled,103
level,層別,haven_labelled,103
gender,戶長性別,haven_labelled,103
f1,F1.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人?,haven_labelled,103
f1_1,F1-1.其中原住民族有幾位?,haven_labelled,103
f1_1_1,F1-1-1.6歲以下的原住民族有幾位?,haven_labelled,103
f1_1_2,F1-1-2.7-15歲的原住民族有幾位?,haven_labelled,103
f1_1_3,F1-1-3.16-54歲的原住民族有幾位?,haven_labelled,103
f1_1_4,F1-1-4.55-64歲的原住民族有幾位?,haven_labelled,103
f1_1_5,F1-1-5.65歲以上的原住民族有幾位?,haven_labelled,103
f2,F2.請問您的配偶屬於以下那種身分?,haven_labelled,103
f2o,F2.請問您的配偶屬於以下那種身分?外國人國籍,character,103
f2_1,F2-1.請問您的先生/太太所屬的族別?(若有雙重族別，請詢問登記的族別為何),haven_labelled,103
f3_1,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),haven_labelled,103
f3_2,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),haven_labelled,103
f3_3,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),haven_labelled,103
f3_4,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),haven_labelled,103
f3o,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),character,103
g1,G1.請問您現在住的房子是屬於誰的?,haven_labelled,103
g1o,G1.請問您現在住的房子是屬於誰的?其他(請說明),character,103
g2,G2.請問您每個月的房屋租金是多少?[回答完跳答G6],haven_labelled,103
g2o,G2.請問您每個月的房屋租金是多少?請記錄___元,numeric,103
g3,G3.請問您現在住的房子是什麼時候購買/搭建的?,haven_labelled,103
g4,G4.請問您現在住的房子樓地板面積是多少?__坪,numeric,103
g5,G5.請問您現在住的房子當初購買/搭建共花了多少錢?,haven_labelled,103
g5o,G5.請問您現在住的房子當初購買/搭建共花了多少錢?請記錄___元,character,103
g6,G6.請問您們家目前有沒有房屋貸款?,haven_labelled,103
g6_1,G6-1.請問您家中目前的房屋貸款總共借(貸)了多少錢?,haven_labelled,103
g6_1o,G6-1.請問您家中目前的房屋貸款總共借(貸)了多少錢?請記錄___元,numeric,103
g6_2,G6-2.請問您家中每個月房屋貸款要繳多少錢?【過去ㄧ年平均每個月的繳款金額】,haven_labelled,103
g6_2o,G6-2.請問您家中每個月房屋貸款要繳多少錢?請記錄___元,numeric,103
g7,G7.請問您個人有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸款呢?,haven_labelled,103
g7_1,G7-1.請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款總共借了多少錢?,haven_labelled,103
g7_1o,G7-1.請問您個人的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款總共借了多少錢?,numeric,103
g7_2,G7-2.請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等,haven_labelled,103
g7_2o,G7-2.請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等,numeric,103
g8,G8.請問您有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,haven_labelled,103
g8_1,G8-1.請問您借錢、預支薪水、賒帳的金額大約多少?,haven_labelled,103
g8_1o,G8-1.請問您借錢、預支薪水、賒帳的金額大約多少?請記錄___元,numeric,103
g8_2,G8-2.請問您是用何種方式還款?(沒有還款者，詢問與債主約定還款方式是什麼),haven_labelled,103
h1,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,haven_labelled,103
h1o,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,numeric,103
h2,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?,haven_labelled,103
h2o,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?請記,numeric,103
h3,H3.請問您個人每個月「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省下的房租」,haven_labelled,103
h3o,H3.請問您個人每個月「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省下的房租」,numeric,103
h4,H4.請問您個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多少?,haven_labelled,103
h4o,H4.請問您個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多少?,numeric,103
h5,H5.請問您個人每個月的「房屋、土地出租租金」收入總共是多少?,haven_labelled,103
h5o,H5.請問您個人每個月的「房屋、土地出租租金」收入總共是多少?請記錄___元,numeric,103
h6,H6.除了以上這些收入以外，請問您(經濟戶長)個人每個月「其他雜項」收入總共是多少?,haven_labelled,103
h6o,H6.除了以上這些收入以外，請問您(經濟戶長)個人每個月「其他雜項」收入總共是多少?請記,numeric,103
i1,I1.除了您本人以外，家裡有沒有「其他家人」有固定收入?,haven_labelled,103
i2,I2.除了您本人以外，家裡有沒有「其他具有原住民身分的家人」有固定收入?,haven_labelled,103
i2_1,I2-1.除了您本人，請問家裡其他具有原住民身分且有固定收入的家人總共有幾位?,haven_labelled,103
i3,I3.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,haven_labelled,103
i3o,I3.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,numeric,103
i4,I4.包含您本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」總收入,haven_labelled,103
i4o,I4.包含您本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」總收入,numeric,103
i5,I5.包含您本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省,haven_labelled,103
i5o,I5.包含您本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省,numeric,103
i6,I6.包含您本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總收入是,haven_labelled,103
i6o,I6.包含您本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總收入是,numeric,103
i7,I7.包含您本人，全家每個月的「房屋、土地出租租金」收入總共是多少?【過去ㄧ年平均每個,haven_labelled,103
i7o,I7.包含您本人，全家每個月的「房屋、土地出租租金」收入總共是多少?請記錄___元,numeric,103
i8,I8.包含您本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少?【過去ㄧ,haven_labelled,103
i8o,I8.包含您本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少?請記錄___,numeric,103
i9,I9.請問您家中有沒有人戶籍不在這裡，但是仍然每個月或定期會提供家裡金錢的家人?,haven_labelled,103
i10,I10.請問家中戶籍不在這裡，但是仍然每個月或定期會提供家裡金錢的家人有幾位?,haven_labelled,103
i11,I11.這幾位家人每個月提供的總金額大約多少錢?,haven_labelled,103
i11o,I11.這幾位家人每個月提供的總金額大約多少錢?請記錄__元,numeric,103
j1,J1.請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少?【過去,haven_labelled,103
j1o,J1.請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少?請記錄,numeric,103
j2,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的支出?【過去,haven_labelled,103
j2o,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的支出?請記錄,numeric,103
j3,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機,haven_labelled,103
j3o,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機,numeric,103
j4,J4.請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是,haven_labelled,103
j4o,J4.請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是,numeric,103
j5,J5.請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?【過去ㄧ年平均每個,haven_labelled,103
j5o,J5.請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?請記錄___元,numeric,103
j6,J6.請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款,haven_labelled,103
j6o,J6.請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款,numeric,103
j7_1_1,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出有無,haven_labelled,103
j7_1_2,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出金額,haven_labelled,103
j7_1_2o,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出金額  請記錄___元,character,103
j7_2_1,J7-2.「各項學費/補習費/家教費」支出有無,haven_labelled,103
j7_2_2,J7-2.「各項學費/補習費/家教費」支出金額,haven_labelled,103
j7_2_2o,J7-2.「各項學費/補習費/家教費」支出金額  請記錄___元,numeric,103
j7_3_1,J7-3.「報紙雜誌書籍文具」支出有無,haven_labelled,103
j7_3_2,J7-3.「報紙雜誌書籍文具」支出金額,haven_labelled,103
j7_3_2o,J7-3.「報紙雜誌書籍文具」支出金額  請記錄___元,character,103
j7_4_1,J7-4.「國內外跟團旅遊/運動娛樂消遣」支出有無,haven_labelled,103
j7_4_2,J7-4.「國內外跟團旅遊/運動娛樂消遣」支出金額,haven_labelled,103
j7_4_2o,J7-4.「國內外跟團旅遊/運動娛樂消遣」支出金額  請記錄___元,numeric,103
j7_5_1,J7-5.「各項貸款/跟會的利息」支出有無,haven_labelled,103
j7_5_2,J7-5.「各項貸款/跟會的利息」支出金額,haven_labelled,103
j7_5_2o,J7-5.「各項貸款/跟會的利息」支出金額  請記錄___元,numeric,103
j7_6_1,J7-6.「外食費/學生住宿費/自助旅行住宿服務費」支出有無,haven_labelled,103
j7_6_2,J7-6.「外食費/學生住宿費/自助旅行住宿服務費」支出金額,haven_labelled,103
j7_6_2o,J7-6.「外食費/學生住宿費/自助旅行住宿服務費」支出金額  請記錄___元,numeric,103
j7_7_1,J7-7.「買衣服/鞋子/襪子各項衣物」支出有無,haven_labelled,103
j7_7_2,J7-7.「買衣服/鞋子/襪子各項衣物」支出金額,haven_labelled,103
j7_7_2o,J7-7.「買衣服/鞋子/襪子各項衣物」支出金額  請記錄___元,numeric,103
j7_8_1,J7-8.「買家具/家庭電器/廚房用具」支出有無,haven_labelled,103
j7_8_2,J7-8.「買家具/家庭電器/廚房用具」支出金額,haven_labelled,103
j7_8_2o,J7-8.「買家具/家庭電器/廚房用具」支出金額  請記錄___元,numeric,103
j7_9_1,J7-9.「兒童/老人/身心障礙者照顧」支出有無,haven_labelled,103
j7_9_2,J7-9.「兒童/老人/身心障礙者照顧」支出金額,haven_labelled,103
j7_9_2o,J7-9.「兒童/老人/身心障礙者照顧」支出金額  請記錄___元,numeric,103
j7_10_1,J7-10.「其他費用」支出有無,haven_labelled,103
j7_10_2,J7-10.「其他費用」支出金額,haven_labelled,103
j7_10_2o,J7-10.「其他費用」支出金額  請記錄___元,numeric,103
k1_1,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資一,haven_labelled,103
k1_2,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資二,haven_labelled,103
k1_3,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資三,haven_labelled,103
k1_4,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資四,haven_labelled,103
k1_5,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資五,haven_labelled,103
k1o,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)其他(請說明),character,103
k1_1a,K1-1.請問您個人每個月用於投資的金額是多少?,haven_labelled,103
k1_1ao,K1-1.請問您個人每個月用於投資的金額是多少?請記錄__元,numeric,103
k2,K2.請問您個人每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,103
k2o,K2.請問您個人每個月可以儲蓄(存錢)的金額是多少?請記錄__元,numeric,103
l1_1,L1.請問您或您的家人最需要政府提供什麼幫忙?(單選),haven_labelled,103
l1o,L1.請問您或您的家人最需要政府提供什麼幫忙?其他(請說明),character,103
l2,L2.請問您知不知道原住民族委員會有「專案貸款」的業務?,haven_labelled,103
