variable,label,type,source
id,樣本戶號(7碼),numeric,110
level,層別(1碼),haven_labelled,110
county1,統計區域,haven_labelled,110
a1,A1.您的家庭型態是什麼?,haven_labelled,110
a2,A2.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,numeric,110
a2_1_1,A2-1-1.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的原住民有幾位?,numeric,110
a2_1_2,A2-1-2.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的原住民有幾位?,numeric,110
a2_1_3,A2-1-3.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的原住民有幾位?,numeric,110
a2_1_4,A2-1-4.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的原住民有幾位?,numeric,110
a2_1_5,A2-1-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的原住民有幾位?,numeric,110
a2_1_6,A2-6-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，原住民總計有幾位?,numeric,110
a2_1_7,A2-1-7.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的非原住民有幾位?,numeric,110
a2_1_8,A2-1-8.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的非原住民有幾位?,numeric,110
a2_1_9,A2-1-9.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的非原住民有幾位?,numeric,110
a2_1_10,A2-1-10.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的非原住民有幾位?,numeric,110
a2_1_11,A2-1-11.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的非原住民有幾位?,numeric,110
a2_1_12,A2-1-12.與您同戶籍且共同生活的人(包括自己且不限原住民)，非原住民總計有幾位?,numeric,110
a3,A3.目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人?,numeric,110
a4,A4.目前與您「不同戶籍」，但「有住在一起」的有幾個人?,numeric,110
a5_1,A5.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源一,haven_labelled,110
a5_2,A5.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源二,haven_labelled,110
a5_3,A5.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源三,haven_labelled,110
a5_4,A5.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源四,haven_labelled,110
b1,B1.經濟戶長性別?,haven_labelled,110
b2,B2.經濟戶長今年幾歲?,haven_labelled,110
b3,B3.經濟戶長教育程度?,haven_labelled,110
b4,B4.經濟戶長需不需要負責家計?,haven_labelled,110
b5r,B5.請問經濟戶長所屬的族別？,haven_labelled,110
b6,B6.經濟戶長的配偶屬於以下那種身分?,haven_labelled,110
b6o,B6.經濟戶長的配偶屬於以下那種身分? (3)新住民國籍/(5)其他,character,110
b6_1r,b6-1.請問經濟戶長的先生/太太所屬的族別？,haven_labelled,110
b6_1o,B6-1.經濟戶長的先生/太太所屬的族別?(17)其他,character,110
b7,B7.經濟戶長111年9月11日至9月17日在做什麼工作?,haven_labelled,110
b7_1,B7-1.經濟戶長從事的行業?,haven_labelled,110
b7_2,B7-2.經濟戶長主要經濟來源的工作是擔任什麼工作?,haven_labelled,110
b7o,B7-2.經濟戶長主要經濟來源的工作是擔任什麼工作?(10)其他,character,110
b7_2o,B7-2.經濟戶長主要經濟來源的工作是擔任什麼工作?(10)其他,character,110
b8,B8.經濟戶長從事的行業有沒有透過創意將原住民文化元素運用或展現在產品或服務中?,haven_labelled,110
b9,B9.經濟戶長從事的原住民文化創意產業性質為何?,haven_labelled,110
b9o,B9.經濟戶長從事的原住民文化創意產業性質為何?(16)其他,character,110
c1,C1.您現在住的房子是屬於誰的?,haven_labelled,110
c1o,C1.您現在住的房子是屬於誰的?(7)其他,character,110
c2,C2.若房子為租賃/配住者，您每個月的房屋租金是多少?,haven_labelled,110
c2o,"C2.若房子為租賃/配住者，您每個月的房屋租金是多少?(11))20,000元以上，請紀錄__元",numeric,110
c3,C3.您現在住的房子是什麼時候購買/搭建的?(民國年),haven_labelled,110
c4,C4.您現在住的房子樓地板面積是多少?(坪),haven_labelled,110
c5,C5.您現在住的房子如果出租的話，租金會是多少?,haven_labelled,110
c6,C6.您們家目前有沒有房屋貸款?,haven_labelled,110
c6_1_1,C6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?單位一,haven_labelled,110
c6_1_2,C6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?單位二,haven_labelled,110
c6_1o,C6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?(7)其他,character,110
c6_2,C6-2.您家中目前的房屋貸款總共借(貸)了多少錢?,haven_labelled,110
c6_2o,"C6-2.您家中目前的房屋貸款總共借(貸)了多少錢?(13)1,000萬元及以上，請紀錄__萬元",numeric,110
c6_3,C6-3.您家中每個月房屋貸款要繳多少錢(110年平均每個月的繳款金額)?,haven_labelled,110
c6_3o,"C6-3.您家中每個月房屋貸款要繳多少錢?(11)70,000元及以上，請紀錄__元",numeric,110
d1,D1.經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢?,haven_labelled,110
d1_1_1,D1-1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款(複選)?單位一,haven_labelled,110
d1_1_2,D1-1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款(複選)?單位二,haven_labelled,110
d1_1o,D1-1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款(複選)?(4)其他(請說明),character,110
d1_2,D1-2.經濟戶長的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款總共借了多少錢?,haven_labelled,110
d1_2o,D1-2.經濟戶長的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款總共借了多少錢?(16)100萬元以上，請記錄__萬元,numeric,110
